seq,name/first,name/last,age,street,city,state,zip,dollar,pick,date
73,Shane,Crawford,27,Buthid Pike,Olidowef,DE,46365,$9430.10,WHITE,12/18/1992
74,Ann,Wells,26,Donal River,Zaikha,IA,87466,$1900.25,WHITE,09/06/2047
75,Pearl,Quinn,34,Omdej Path,Epcivkoz,AZ,46937,$1025.68,BLUE,03/01/2046
76,Amanda,Newton,57,Hinwot Pass,Fugizu,MD,07925,$4510.77,YELLOW,07/17/2061
77,Maurice,Bowers,24,Musjuk Path,Jijukteh,TN,99218,$8613.79,GREEN,12/18/2029
78,Madge,Hart,64,Uhegir Park,Serajnaj,CO,57742,$9142.61,RED,01/10/1974
79,Rachel,Hart,39,Melup Turnpike,Espopo,CO,98030,$82.60,RED,04/21/1982
80,Derek,Martin,51,Tumik Pike,Rucotdu,NC,29533,$1615.07,BLUE,02/15/1964
81,Lizzie,Curtis,63,Jopeh Place,Bijarviz,MI,85372,$2288.85,BLUE,12/27/2012
82,Matilda,Gutierrez,38,Fimde Avenue,Fedotre,IL,17247,$8863.09,GREEN,08/24/1920
83,Herbert,Perez,30,Tabi Road,Jafdaud,MO,38501,$7226.36,YELLOW,06/25/2021
84,Harriett,Harrington,43,Vasnof Manor,Bohekze,TX,22502,$3356.43,WHITE,04/05/2003
85,Eleanor,Frank,62,Kiblal Way,Nuetram,MN,77272,$2725.68,GREEN,07/25/2032
86,Vernon,Webster,41,Hinuke Pass,Hatlagim,OH,74018,$9542.01,YELLOW,07/12/2010
87,Cecilia,Guzman,51,Vicu Place,Vemsazu,FL,65181,$217.82,GREEN,11/27/1928
88,Lottie,Higgins,24,Cictu Grove,Jalwogewo,MO,68609,$2887.08,WHITE,09/03/1949
89,Estella,Cohen,49,Wedoc Park,Ejisobu,FL,31229,$1127.36,BLUE,03/21/2001
90,Chad,Harrison,43,Oseti River,Avbicro,MA,77147,$2326.21,GREEN,09/25/1989
91,Curtis,Jennings,38,Ibadu Road,Joigeno,DC,97100,$2968.68,WHITE,06/09/2014
92,Elmer,Simpson,35,Wunnob Path,Lumigoka,CA,92627,$5475.86,GREEN,02/17/2022
93,Mitchell,Day,34,Epaef Junction,Alhojwaw,MA,58100,$2106.71,BLUE,11/19/2010
94,Teresa,Kelley,42,Garbih Ridge,Fezajavi,OR,17468,$9523.41,GREEN,07/19/2068
95,Olive,Douglas,42,Dupheh Center,Jebhihe,NY,30014,$3095.75,GREEN,08/05/2068
96,Loretta,Patrick,52,Ceoce Boulevard,Uwgoim,MA,20931,$9579.79,RED,10/07/1932
97,Sophie,Rice,34,Acado Center,Lodcomu,UT,42138,$5102.26,RED,01/19/1910
98,Jessie,Patton,35,Wibor Extension,Fimkubawo,WI,12378,$9946.36,RED,11/16/1938
99,Sarah,Burns,37,Rodej Loop,Diegbih,IL,85838,$2014.86,WHITE,06/20/2038
100,Ricky,Lambert,61,Guvu Road,Ikotif,AZ,44821,$8090.40,BLUE,07/29/1900
101,Kenneth,Powell,36,Hifij Turnpike,Pavzoah,AR,22124,$8641.13,WHITE,02/06/2049
102,Raymond,Vega,42,Sivbe View,Tapuzus,GA,85062,$234.63,RED,11/08/2020
103,Alfred,Cross,54,Tacaz Extension,Neflebu,NV,03541,$6800.73,RED,07/11/1900
104,Mabel,Fox,18,Latek Mill,Wahepce,NV,64214,$5603.69,YELLOW,06/01/1965
105,Derek,Chapman,36,Lume Place,Hikitji,ND,20399,$1841.81,BLUE,02/23/1932
106,Jorge,Johnson,39,Nerle Heights,Ipefifu,CO,35927,$2609.23,RED,05/14/1981
107,Cecilia,Lane,29,Opcek Loop,Piglazni,KS,59424,$9395.06,YELLOW,11/18/1972
108,Bruce,Cortez,30,Mogito Court,Dupkiha,AZ,49995,$3319.03,YELLOW,01/07/2014
109,Mabel,Walsh,29,Sarwe Street,Hercupap,AK,36354,$6428.43,RED,08/30/2031
110,Richard,Keller,31,Hunoj Park,Votegi,MT,68459,$3375.11,WHITE,12/20/1945
111,Stella,Edwards,50,Cacwa River,Ceifuifi,KS,63704,$6549.67,YELLOW,08/29/1991
112,Lulu,Davidson,18,Cedode Turnpike,Cawliwmac,NE,07722,$302.15,RED,08/31/1989
113,Nannie,Cunningham,52,Uzasuk Boulevard,Lihkipos,OH,94526,$6252.52,RED,07/07/1991
114,Patrick,Hammond,36,Veke Extension,Ovmomgi,MN,97941,$2035.82,GREEN,07/31/1980
115,Roy,Wong,61,Caker Place,Oziconka,TN,24950,$2942.60,WHITE,10/28/1934
116,Alexander,Berry,57,Jilguv Drive,Lidpapdu,WA,24684,$4711.37,BLUE,10/22/1986
117,Christopher,Becker,24,Libus Plaza,Zazirpi,AR,78152,$1469.62,WHITE,07/07/2040
118,Marguerite,Smith,63,Focmo Avenue,Racipiz,NJ,05407,$8789.93,RED,08/20/2016
119,Bernice,Fisher,55,Walez Loop,Iroboof,UT,89292,$1092.41,YELLOW,01/10/2048
120,Chad,Fields,41,Wivhe Parkway,Leacevu,NC,13874,$8932.40,BLUE,02/10/1977
121,Helena,Bass,27,Kiger Square,Pewidcet,AZ,86965,$8344.45,BLUE,07/18/2051
122,Ralph,Foster,54,Temi Loop,Pilanoru,PA,16122,$8089.25,WHITE,10/07/1996
123,Danny,Reyes,26,Olik Manor,Recwios,MD,13558,$3046.09,WHITE,08/30/1925
124,Lela,Bryan,40,Sorroz Park,Kowozug,NY,90435,$5483.19,BLUE,02/07/1995
125,Dominic,McCoy,24,Afudu Turnpike,Takseej,IL,71655,$5578.52,YELLOW,01/10/1995
126,Abbie,Bailey,62,Turjes Plaza,Sewkikub,NC,53684,$9839.32,WHITE,07/13/1927
127,Ralph,Lawson,54,Owtib Heights,Vemikeb,KY,51429,$9679.97,YELLOW,10/22/1924
128,Lucile,Quinn,47,Eromi Path,Podoka,VT,99776,$1379.94,YELLOW,07/07/2050
129,Bernice,Wilson,18,Jofire Park,Sefjesbub,ME,15780,$2979.92,YELLOW,05/05/2034
130,Ernest,Burton,40,Vozha Pass,Ussojel,NY,05327,$474.43,WHITE,08/25/1975
131,Loretta,Joseph,21,Seuz Highway,Kuunfa,DE,63204,$3210.61,GREEN,02/15/2013
132,Wesley,Mendoza,60,Tuipa Manor,Lafkuzmut,LA,35954,$3673.93,YELLOW,12/28/1938
133,Tony,Colon,27,Sowoc Mill,Natiara,CT,48673,$5557.13,GREEN,05/18/1919
134,Mattie,Duncan,31,Mizjuc Square,Jotmusaha,VT,87803,$1247.02,BLUE,03/13/1941
135,Micheal,Hubbard,43,Soile Turnpike,Bomidtac,VT,64889,$9249.72,WHITE,09/03/1998
136,Hettie,Turner,33,Ucani Lane,Miinwus,CA,54930,$5430.16,YELLOW,05/09/2032
137,Benjamin,Klein,25,Five Grove,Olhidve,PA,96913,$8082.58,BLUE,07/06/1974
138,Alvin,Strickland,44,Giggi Pike,Fedadam,NY,70488,$2293.58,YELLOW,02/11/1987
139,Sarah,Sandoval,60,Vidij Trail,Lapabe,WY,04542,$1918.40,GREEN,03/31/1949
140,Mike,Wood,47,Cahut Manor,Bujucug,NV,51102,$8007.97,RED,06/02/1927
141,Mitchell,Obrien,30,Wura Trail,Macpokih,NH,92069,$930.58,RED,11/24/1966
142,Stephen,Dean,47,Mureg Boulevard,Ansarog,RI,97918,$5119.29,RED,09/05/1900
143,Duane,Pearson,58,Bufji Heights,Wionupud,NM,14489,$946.90,GREEN,08/09/1908
144,Sean,Brock,58,Topje Terrace,Anlumdo,VT,62289,$3806.45,BLUE,09/04/1971
145,Luis,Vargas,54,Misoz Street,Lufukih,AZ,55007,$8236.28,BLUE,10/24/2068
146,Effie,Moss,34,Ejkoh Drive,Eweshi,IN,70369,$3017.37,YELLOW,12/03/1955
147,Marc,Shelton,39,Para Place,Sijbeate,RI,79957,$552.93,WHITE,04/02/2016
148,Rosa,Nguyen,27,Hire Terrace,Otpove,WA,88622,$2740.48,RED,02/17/2005
149,Glen,Walton,30,Sejbof Street,Hahnigvew,TX,78575,$135.57,YELLOW,05/09/1970
150,Catherine,Snyder,55,Nugig Avenue,Mirsanoj,NC,72574,$6202.14,YELLOW,03/05/1922
151,Belle,Herrera,43,Gatiw Circle,Eplonzo,KS,10334,$972.22,RED,02/27/1946
152,Leo,Hale,55,Disovo Road,Onzuov,IN,92792,$4498.55,YELLOW,02/20/1986
153,Myrtie,Stephens,31,Jegwin Avenue,Nagihef,AZ,49198,$2504.51,RED,04/08/1969
154,Jonathan,Simpson,55,Ahvaj Loop,Odmemev,RI,13435,$5690.67,RED,12/05/1981
155,Jorge,Gonzales,49,Jehob Junction,Rohpifma,NJ,55239,$5029.58,RED,06/02/2021
156,Alex,Chandler,44,Sohnap Pass,Gumwedvet,NJ,12199,$4164.73,YELLOW,09/15/2010
157,Jeffery,Mitchell,45,Deszu Grove,Leduglom,NH,37551,$1483.85,YELLOW,01/19/1969
158,Shane,Nichols,41,Getoh Way,Rajdokew,DE,96412,$7237.40,RED,11/01/1963
159,Mabelle,Larson,32,Cuvafe Center,Lebevzew,NJ,72259,$7453.10,YELLOW,04/08/1951
160,Betty,Estrada,28,Isuzob Lane,Zobusga,NJ,81663,$1431.71,RED,08/31/1931
161,Hilda,Parker,27,Esde Point,Ejumavot,SC,56857,$2196.27,GREEN,09/11/1900
162,Brent,Arnold,20,Zimkec Circle,Urdenu,LA,68441,$399.67,RED,11/17/2039
163,Bruce,Welch,34,Luda Path,Hekilac,IA,25820,$5770.65,YELLOW,09/28/2049
164,Nettie,Manning,51,Vezol Circle,Ezdevrul,TN,23483,$8357.44,WHITE,11/17/2062
165,Sophie,Santos,18,Vino Turnpike,Sovopruj,MT,38661,$3692.93,WHITE,03/26/1936
166,Marguerite,Jackson,55,Wefmu Parkway,Nokoca,DC,13906,$4581.83,YELLOW,08/10/2034
167,Larry,Powers,38,Wogke Boulevard,Eknuhu,TN,42721,$819.68,WHITE,11/19/1988
168,Louis,Stokes,38,Ledo Way,Cafepe,MN,68082,$431.34,YELLOW,04/22/1907
169,Nicholas,Kelly,19,Jeav Way,Fabimpuk,KS,48732,$2166.82,BLUE,02/25/2068
170,Isaac,Maldonado,30,Pirtu View,Atdapun,MD,54243,$5305.58,RED,11/06/1908
171,Glenn,Stone,28,Itigu Parkway,Dizsesof,OK,57513,$8385.06,RED,05/24/1990
172,Jesse,McGee,61,Lizbeg Place,Ihorolme,SC,87448,$6951.95,GREEN,12/26/1928
173,Tom,Lee,45,Vuti Park,Legfuwu,MA,23085,$3975.81,YELLOW,08/10/1948
174,Edith,Duncan,40,Narit Path,Zatcogveh,KY,29287,$7563.65,BLUE,08/06/2034
175,Henrietta,Ingram,52,Poma Circle,Pilahbow,ME,52997,$7894.10,GREEN,06/10/2019
176,Jerry,Baker,51,Licij Drive,Corekul,FL,87313,$557.62,YELLOW,12/16/2038
177,Barry,Duncan,60,Tavmor Junction,Otiepulu,AL,36740,$9229.69,GREEN,04/30/1948
178,Vera,Shaw,19,Kamniz Center,Koddohsib,HI,97678,$1018.07,GREEN,04/06/1918
179,Ida,Delgado,58,Dotar Road,Nefobsef,CT,82254,$5453.71,GREEN,04/27/1969
180,Justin,Fleming,58,Tuab View,Wicmowab,AZ,96796,$465.52,BLUE,11/21/2065
181,Todd,Patterson,56,Malif Ridge,Wotfusa,NY,11040,$5218.70,WHITE,08/31/2027
182,Todd,Miles,59,Tusu Street,Uzzurda,HI,66674,$433.64,YELLOW,12/03/1986
183,Aaron,George,33,Nanub Pass,Ufhemzan,CT,31595,$9723.53,BLUE,07/10/1931
184,Tom,Holt,23,Ivjej Pass,Puzazfi,SC,36845,$7557.65,WHITE,07/31/2021
185,Lenora,Hardy,52,Abzus Key,Messegor,CA,90830,$8203.26,RED,07/04/1927
186,Francisco,Silva,62,Juhem Lane,Pofoko,ME,36351,$8969.66,BLUE,03/07/1904
187,Verna,Manning,21,Emocoj Center,Uwpono,PA,92136,$1662.52,YELLOW,04/24/2010
188,Bryan,Grant,64,Onodik Lane,Nijjavu,WY,98154,$9777.51,WHITE,07/31/2066
189,Mark,Lee,61,Akpum Path,Ojiamivuf,WA,41784,$1651.38,RED,01/05/2048
190,Madge,Bennett,58,Waagu Ridge,Nuckeisa,CA,05702,$1593.07,YELLOW,06/04/1918
191,Samuel,Walsh,42,Mige Loop,Likeruni,AL,62071,$5499.63,YELLOW,09/30/2000
192,Millie,Crawford,37,Hegbev River,Fesjage,DE,71306,$1120.24,RED,08/30/1919
193,Ada,Simpson,52,Igekim Drive,Caatozu,OH,94704,$1411.28,RED,02/08/2048
194,Alan,Reyes,18,Rumcu Path,Emeatbi,MN,51407,$638.58,GREEN,01/07/1961
195,Pauline,Hamilton,61,Lajem Avenue,Dejtela,WY,50553,$7527.68,BLUE,08/08/1997
196,Joseph,Baker,38,Cuhiva Parkway,Gepkiumo,UT,91134,$3805.02,GREEN,02/17/2055
197,Bobby,Moss,54,Humgud Center,Ojtobze,IL,80543,$3493.61,YELLOW,07/24/1985
198,Ethel,Greer,36,Atsib Way,Zuocbij,KY,13024,$4023.74,WHITE,08/27/1987
199,Jean,Howard,56,Ezibo Point,Rasjocdik,AL,30375,$5035.43,BLUE,08/29/2034
200,Duane,Neal,24,Kinur Point,Zesoknu,FL,22326,$14.10,BLUE,03/02/1912
201,Dominic,Meyer,52,Ehma Parkway,Pemehovu,LA,18913,$2841.45,GREEN,05/27/1997
202,Madge,Curry,31,Wijfib Park,Wiinta,VA,94084,$3659.98,GREEN,10/30/1976
203,Leo,Santos,48,Ewini Lane,Zunujvas,OR,99391,$6742.86,GREEN,12/16/1931
204,George,Guerrero,26,Cijo Road,Zunjajcet,WI,20214,$7977.47,GREEN,10/08/1914
205,Marie,Powell,46,Iwlog Park,Sitpevul,TX,91299,$9646.86,WHITE,02/18/1947
206,Lottie,Brock,28,Ecnaj Avenue,Idaturuf,DC,73034,$4735.66,BLUE,06/05/1960
207,Lillian,Bowen,23,Utamuz Way,Sazzajsi,DC,07322,$7153.06,BLUE,05/01/2061
208,Ian,Potter,58,Tennu Highway,Hugenfew,ND,39013,$6505.51,YELLOW,09/09/1974
209,George,Garcia,38,Ekeziz Mill,Tibwutozi,NH,27460,$8891.86,RED,09/17/1966
210,Mark,Greer,49,Rogmu Key,Ilfamod,NC,77808,$351.49,YELLOW,06/17/1919
211,Eula,Hudson,45,Sigta Street,Itdoik,HI,51190,$4281.35,RED,07/24/1929
212,Myra,Butler,57,Laro Road,Nikiptur,AK,75366,$5852.73,RED,09/26/2053
213,Ronnie,Becker,25,Sehkuk Grove,Tagokip,NV,57392,$7477.31,BLUE,08/08/2055
214,Gavin,Norris,33,Ifolit Extension,Ulorijiv,GA,43169,$1661.42,WHITE,11/11/1975
215,Cory,Park,40,Sonuza Mill,Ermewde,AK,76587,$3109.47,GREEN,03/29/1995
216,Roger,Steele,37,Gazba Key,Zamloja,AZ,71880,$5127.38,YELLOW,06/02/1932
217,Peter,Martinez,20,Sapbob Court,Pirepjok,FL,60091,$6644.02,YELLOW,08/04/2062
218,Andre,Bowen,43,Pihi View,Imlepor,GA,09986,$2591.17,YELLOW,01/31/2047
219,Bruce,Elliott,38,Zopza Avenue,Wuwzecfuf,WV,46868,$1978.21,BLUE,07/31/1974
220,Roger,Roy,22,Epwa Court,Dipjofrad,KS,78230,$1395.70,BLUE,05/26/1942
221,Bernice,Brady,24,Wahzo Extension,Nobomuco,AK,05435,$4103.84,WHITE,01/29/2042
222,Irene,Frazier,59,Tovnu Pass,Leediunu,AL,61127,$9873.13,GREEN,05/23/2007
223,Evan,Stevens,46,Owizo Circle,Bozimowu,NM,28984,$7839.86,WHITE,12/02/1951
224,Kathryn,Holland,22,Buun Street,Mutivud,MO,56341,$785.40,YELLOW,01/13/1942
225,Cora,Cummings,22,Metom Manor,Ninaro,IL,38214,$1616.78,BLUE,04/22/2040
226,Nellie,Flores,50,Bidmeh Boulevard,Dipiwji,DC,79030,$8595.78,YELLOW,06/03/1998
227,Martin,Perry,47,Codo Place,Hivbefpat,UT,28050,$7130.14,RED,10/31/1927
228,Mamie,Santos,52,Catam Plaza,Buzceif,NE,85519,$1603.22,RED,10/26/2055
229,Jose,Brewer,32,Nuzcu Avenue,Zavkapew,OK,57651,$5960.63,YELLOW,05/22/1924
230,Dorothy,Jones,47,Wafol Street,Zuifezuj,NE,16763,$8200.48,YELLOW,12/14/1984
231,Craig,Roy,57,Biaf Loop,Letauzu,TN,08391,$5563.02,BLUE,02/09/2023
232,Keith,Gibbs,57,Jadpo Court,Akovate,MI,35532,$517.11,GREEN,11/29/2053
233,Christian,Gregory,58,Nawov Ridge,Jujudsod,FL,26705,$3914.42,BLUE,10/19/1903
234,Hunter,McKenzie,65,Govu Lane,Jigtohovi,ME,59565,$5812.89,RED,02/11/1934
235,Chris,Parsons,41,Zeviz Avenue,Mehtabguz,CO,07312,$6693.30,GREEN,05/19/1984
236,Agnes,Allen,46,Ukzas Road,Oshali,NC,72562,$7181.63,WHITE,04/13/1913
237,Harvey,Hernandez,36,Tefac Highway,Cugelzu,ME,43095,$7474.75,GREEN,05/24/2014
238,Sean,Maldonado,51,Poheg Ridge,Mauhoti,PA,60185,$303.91,WHITE,10/09/1994
239,Cordelia,McCormick,34,Paoje Plaza,Ricisme,CT,45122,$1143.15,WHITE,06/05/2052
240,Abbie,Collier,64,Wucu Junction,Henkudi,RI,48205,$8650.11,YELLOW,08/31/1933
241,Barbara,Hopkins,58,Ivajag Pass,Vawocnu,MS,48241,$170.33,BLUE,05/16/2009
242,Erik,Drake,57,Gedol Center,Batefu,TN,27518,$2366.00,BLUE,07/10/2070
243,Tillie,Griffith,41,Wiis Pike,Zuwubelin,NC,06870,$1846.51,YELLOW,01/22/2062
244,Lucinda,Daniels,30,Jawi Manor,Fuviman,NJ,70757,$9462.61,WHITE,02/21/2019
245,Jordan,Tyler,28,Miro Pass,Jupowasuc,LA,50522,$6928.88,GREEN,09/20/1993
246,Olivia,Daniel,30,Detov Parkway,Lukobevo,MD,64979,$9863.55,GREEN,07/28/2052
247,Addie,Moore,23,Ommoh Turnpike,Mefwubto,LA,72474,$9630.35,BLUE,09/03/1934
248,Inez,Guerrero,25,Cufhun Heights,Tuvwawoh,IL,82586,$4495.12,GREEN,08/12/2040
249,Ophelia,Glover,45,Taho Mill,Rorlajep,TX,97097,$3638.42,YELLOW,02/22/1952
250,Lee,Kelly,59,Sacpaf Extension,Gallicev,HI,48688,$9537.23,BLUE,05/20/2000
251,Kevin,Steele,40,Ozamah Center,Vapahniw,SD,59613,$1737.65,YELLOW,10/10/1911
252,Eugenia,Dawson,24,Kiwer Square,Orolughip,ID,41879,$5466.15,YELLOW,08/30/2068
253,Harriett,Bryant,36,Beefe Way,Kopidah,OR,79372,$1233.21,BLUE,12/10/1952
254,Phoebe,Taylor,19,Gufin Lane,Agamogkaw,CA,66438,$4053.19,YELLOW,01/12/1944
255,Alfred,Strickland,32,Velot Turnpike,Enahenlur,HI,59739,$9763.61,GREEN,08/28/2005
256,Helena,French,60,Geres Extension,Rakuog,SD,73207,$4972.00,WHITE,11/29/1996
257,Martin,Hampton,29,Ifdi Place,Rasniva,IN,02002,$371.68,BLUE,05/19/1995
258,Claudia,Carroll,18,Mobu Grove,Mobjunmel,ID,56515,$2025.62,RED,02/07/2028
259,Craig,Davis,26,Waned Road,Monkota,MO,75404,$258.11,YELLOW,10/25/1930
260,Hunter,Meyer,40,Pizig Road,Sooropiv,RI,87505,$2187.42,RED,12/30/1999
261,Katharine,Daniel,32,Tabguv Key,Siibak,KY,92759,$3648.13,BLUE,07/07/1910
262,Milton,Marsh,62,Nudze Park,Vonejer,NV,21291,$8953.81,RED,01/08/2057
263,Joseph,Cruz,37,Zijuj Point,Ipitefcuv,NJ,53832,$7495.63,BLUE,10/15/1997
264,Hettie,Shaw,32,Muwo Square,Nowudon,NY,33583,$7007.75,GREEN,05/03/2016
265,Jeremy,Soto,57,Bukvil Grove,Birege,NC,66147,$1517.47,GREEN,04/26/1921
266,Duane,Henry,42,Ojovo Highway,Kigjidriv,DE,54878,$3882.25,GREEN,10/14/1943
267,Emma,Harper,22,Baobu Avenue,Ijaicma,KY,25025,$3999.50,YELLOW,03/10/1936
268,Ophelia,Riley,30,Temah Loop,Suuhve,IL,57610,$3992.06,WHITE,10/03/2029
